AnalyzerL1PhaseVoltage,AnalyzerL2PhaseVoltage,AnalyzerL3PhaseVoltage,AnalyzerL1Frequency,time
27105.537,27184.551,27178.547,50.016,28-Apr-2025 11:00:00
27034.057,27113.322,27105.414,50.013,28-Apr-2025 11:00:02
27109.965,27187.533,27178.531,50.008,28-Apr-2025 11:00:04
26970.863,27047.195,27041.854,50.007,28-Apr-2025 11:00:06
26969.873,27047.975,27039.451,50.001,28-Apr-2025 11:00:08
26996.527,27077.854,27067.031,49.993,28-Apr-2025 11:00:10
26997.832,27084.635,27068.164,49.99,28-Apr-2025 11:00:12
27049.912,27129.559,27124.086,49.986,28-Apr-2025 11:00:14
26993.742,27072.828,27069.049,49.984,28-Apr-2025 11:00:16
27011.285,27097.811,27083.838,49.984,28-Apr-2025 11:00:18
26919.898,27008.854,26999.191,49.985,28-Apr-2025 11:00:20
27013.316,27101.697,27086.156,49.982,28-Apr-2025 11:00:22
26886.102,26966.549,26954.475,49.981,28-Apr-2025 11:00:24
26874.928,26961.508,26946.82,49.981,28-Apr-2025 11:00:26
26924.088,27000.428,26991.303,49.977,28-Apr-2025 11:00:28
26841.383,26926.039,26910.213,49.979,28-Apr-2025 11:00:30
26891.281,26972.184,26955.781,49.981,28-Apr-2025 11:00:32
26914.189,26990.158,26973.201,49.981,28-Apr-2025 11:00:34
26856.502,26934.23,26918.822,49.985,28-Apr-2025 11:00:36
26838.547,26918.469,26907.209,49.986,28-Apr-2025 11:00:38
26812.299,26896.752,26880.99,49.985,28-Apr-2025 11:00:40
26755.531,26841.998,26828.736,49.985,28-Apr-2025 11:00:42
26775.535,26870.621,26854.354,49.983,28-Apr-2025 11:00:44
26738.795,26837.066,26829.182,49.983,28-Apr-2025 11:00:46
26988.893,27083.482,27063.895,49.983,28-Apr-2025 11:00:48
26878.211,26966.66,26954.553,49.983,28-Apr-2025 11:00:50
26776.307,26862.066,26853.59,49.985,28-Apr-2025 11:00:52
26846.432,26933.365,26919.236,49.984,28-Apr-2025 11:00:54
26769.938,26855.475,26841.268,49.985,28-Apr-2025 11:00:56
26829.232,26911.047,26901.049,49.984,28-Apr-2025 11:00:58
26721.742,26799.373,26794.932,49.985,28-Apr-2025 11:01:00
26832.621,26911.678,26905.629,49.983,28-Apr-2025 11:01:02
26722.438,26799.91,26796.602,49.981,28-Apr-2025 11:01:04
26667.021,26748.623,26735.314,49.979,28-Apr-2025 11:01:06
26759.439,26833.01,26824.852,49.973,28-Apr-2025 11:01:08
26671.447,26750.205,26742.18,49.969,28-Apr-2025 11:01:10
26774.791,26853.361,26852.32,49.964,28-Apr-2025 11:01:12
26693.518,26774.895,26771.637,49.961,28-Apr-2025 11:01:14
26687.879,26770.619,26762.982,49.96,28-Apr-2025 11:01:16
26764.951,26851.057,26836.443,49.96,28-Apr-2025 11:01:18
26671.908,26761.814,26741.953,49.963,28-Apr-2025 11:01:20
26678.213,26774.375,26748.459,49.966,28-Apr-2025 11:01:22
26638.965,26733.59,26708.082,49.968,28-Apr-2025 11:01:24
26681.256,26768.549,26740.994,49.97,28-Apr-2025 11:01:26
26682.479,26747.613,26732.307,49.97,28-Apr-2025 11:01:28
NaN,NaN,NaN,NaN,28-Apr-2025 11:01:30
26676.195,26742.641,26713.09,49.97,28-Apr-2025 11:01:32
26820.861,26886.008,26861.402,49.969,28-Apr-2025 11:01:34
26813.697,26880.885,26858.488,49.97,28-Apr-2025 11:01:36
26811.953,26878.785,26864.047,49.97,28-Apr-2025 11:01:38
26864.191,26949.402,26923.301,49.97,28-Apr-2025 11:01:40
26901.797,26977.65,26957.273,49.972,28-Apr-2025 11:01:42
26879.967,26962.566,26940.078,49.976,28-Apr-2025 11:01:44
26910,26988.756,26967.572,49.977,28-Apr-2025 11:01:46
26847.498,26932.238,26908.588,49.978,28-Apr-2025 11:01:48
26901.895,26986.436,26966.031,49.979,28-Apr-2025 11:01:50
26856.072,26932.547,26921.01,49.979,28-Apr-2025 11:01:52
26867.734,26949.574,26928.354,49.978,28-Apr-2025 11:01:54
26929.066,27012.779,26985.879,49.977,28-Apr-2025 11:01:56
26860.42,26948.514,26924.463,49.978,28-Apr-2025 11:01:58
26938.146,27020.912,26997.486,49.977,28-Apr-2025 11:02:00
26903.791,26986.322,26962.459,49.976,28-Apr-2025 11:02:02
26910.713,26995.318,26974.795,49.975,28-Apr-2025 11:02:04
26911.424,26994.43,26967.324,49.972,28-Apr-2025 11:02:06
26933.266,27022.51,26993.865,49.97,28-Apr-2025 11:02:08
26934.871,27027.346,26996.227,49.97,28-Apr-2025 11:02:10
26903.699,26995.939,26966.611,49.97,28-Apr-2025 11:02:12
26843.328,26931.406,26906.412,49.97,28-Apr-2025 11:02:14
26791.555,26881.852,26861.98,49.971,28-Apr-2025 11:02:16
26845.881,26939.676,26926.322,49.969,28-Apr-2025 11:02:18
26757.293,26849.191,26831.59,49.968,28-Apr-2025 11:02:20
26806.133,26900.279,26884.123,49.966,28-Apr-2025 11:02:22
26770.281,26863.225,26851.309,49.965,28-Apr-2025 11:02:24
26771.885,26861.695,26845.303,49.965,28-Apr-2025 11:02:26
26756.801,26852.578,26822.906,49.965,28-Apr-2025 11:02:28
26756.66,26854.752,26812.479,49.965,28-Apr-2025 11:02:30
26767.691,26862.605,26821.271,49.964,28-Apr-2025 11:02:32
26783.566,26879.629,26844.607,49.963,28-Apr-2025 11:02:34
26780.148,26876.281,26837.252,49.961,28-Apr-2025 11:02:36
26774.664,26871.445,26839.516,49.961,28-Apr-2025 11:02:38
26809.836,26903.752,26872.459,49.961,28-Apr-2025 11:02:40
26810.926,26902.369,26875.408,49.96,28-Apr-2025 11:02:42
26820.023,26916.193,26886.707,49.961,28-Apr-2025 11:02:44
26802.012,26904.83,26868.344,49.961,28-Apr-2025 11:02:46
26782.979,26895.943,26858.885,49.961,28-Apr-2025 11:02:48
26775.486,26872.553,26841.498,49.96,28-Apr-2025 11:02:50
26841.691,26943.182,26904.195,49.959,28-Apr-2025 11:02:52
26819.424,26916.6,26891.334,49.959,28-Apr-2025 11:02:54
26748.15,26854.412,26819.879,49.961,28-Apr-2025 11:02:56
26841.744,26939.125,26909.197,49.96,28-Apr-2025 11:02:58
26724.279,26817.656,26793.607,49.96,28-Apr-2025 11:03:00
26700.732,26788.123,26760.176,49.958,28-Apr-2025 11:03:02
26742.607,26825.965,26797.242,49.953,28-Apr-2025 11:03:04
26657.928,26742.898,26711.207,49.952,28-Apr-2025 11:03:06
26783.207,26866.559,26841.178,49.948,28-Apr-2025 11:03:08
26731.584,26812.666,26783.826,49.948,28-Apr-2025 11:03:10
26787.801,26873.982,26838.225,49.95,28-Apr-2025 11:03:12
26703.963,26780.258,26752.732,49.951,28-Apr-2025 11:03:14
26731.449,26810.238,26780.701,49.953,28-Apr-2025 11:03:16
26762.807,26839.52,26818.449,49.953,28-Apr-2025 11:03:18
26588.213,26673.994,26652.768,49.957,28-Apr-2025 11:03:20
26769.416,26843.766,26823.066,49.955,28-Apr-2025 11:03:22
26608.082,26683.76,26665.545,49.958,28-Apr-2025 11:03:24
26622.801,26696.637,26679.832,49.962,28-Apr-2025 11:03:26
26624.502,26700.41,26679.391,49.963,28-Apr-2025 11:03:28
26485.205,26567.52,26538.955,49.967,28-Apr-2025 11:03:30
26604.938,26683.611,26658.578,49.966,28-Apr-2025 11:03:32
26463.768,26541.916,26516.445,49.966,28-Apr-2025 11:03:34
26511.318,26596.785,26565.996,49.965,28-Apr-2025 11:03:36
26510.613,26591.283,26566.623,49.961,28-Apr-2025 11:03:38
26517.658,26604.613,26570.963,49.96,28-Apr-2025 11:03:40
26476.975,26560.738,26530.23,49.958,28-Apr-2025 11:03:42
26465.793,26543.207,26511.74,49.958,28-Apr-2025 11:03:44
26612.521,26679.627,26652.207,49.957,28-Apr-2025 11:03:46
26516.016,26587.65,26564.875,49.959,28-Apr-2025 11:03:48
26568.25,26641.225,26615.215,49.962,28-Apr-2025 11:03:50
26555.318,26619.516,26596.166,49.961,28-Apr-2025 11:03:52
26619.223,26691.334,26666.684,49.966,28-Apr-2025 11:03:54
26740.826,26803.191,26783.439,49.965,28-Apr-2025 11:03:56
26633.436,26702.938,26681.264,49.968,28-Apr-2025 11:03:58
26661.102,26730.455,26705.998,49.968,28-Apr-2025 11:04:00
26783.689,26853.707,26824.063,49.965,28-Apr-2025 11:04:02
26688.891,26765.021,26730.902,49.966,28-Apr-2025 11:04:04
26855.078,26921.867,26897.748,49.963,28-Apr-2025 11:04:06
26726.07,26801.473,26779.012,49.963,28-Apr-2025 11:04:08
26824.379,26888.713,26869.738,49.961,28-Apr-2025 11:04:10
26755.557,26822.688,26798.838,49.961,28-Apr-2025 11:04:12
26759.271,26836.482,26806.488,49.962,28-Apr-2025 11:04:14
26803.039,26880.52,26849.688,49.958,28-Apr-2025 11:04:16
26720.324,26800.982,26763.887,49.958,28-Apr-2025 11:04:18
26943.443,27016.029,26983.266,49.954,28-Apr-2025 11:04:20
26748.93,26824.135,26793.646,49.957,28-Apr-2025 11:04:22
26962.682,27033.684,27005.186,49.956,28-Apr-2025 11:04:24
27070.59,27138.807,27113.264,49.958,28-Apr-2025 11:04:26
27052.684,27132.41,27098.404,49.962,28-Apr-2025 11:04:28
27356.898,27433.455,27407.088,49.957,28-Apr-2025 11:04:30
27295.611,27382.85,27338.268,49.961,28-Apr-2025 11:04:32
27470.082,27544.914,27502.619,49.96,28-Apr-2025 11:04:34
27388.676,27467.941,27430.473,49.963,28-Apr-2025 11:04:36
27510.732,27602.559,27556.861,49.967,28-Apr-2025 11:04:38
27543.99,27620.83,27591.482,49.966,28-Apr-2025 11:04:40
27505.65,27583.422,27545.559,49.967,28-Apr-2025 11:04:42
27605.99,27678.52,27641.721,49.964,28-Apr-2025 11:04:44
27514.811,27593.549,27557.646,49.966,28-Apr-2025 11:04:46
27626.461,27710.469,27675.068,49.962,28-Apr-2025 11:04:48
27483.549,27577.088,27533.691,49.965,28-Apr-2025 11:04:50
27590.871,27675.576,27630.342,49.963,28-Apr-2025 11:04:52
27539.709,27617.402,27582.455,49.963,28-Apr-2025 11:04:54
27518.166,27603.506,27557.986,49.964,28-Apr-2025 11:04:56
27604.607,27683.941,27641.795,49.96,28-Apr-2025 11:04:58
27477.139,27548.561,27508.943,49.958,28-Apr-2025 11:05:00
27628.412,27697.436,27658.182,49.953,28-Apr-2025 11:05:02
27553.389,27624.498,27584.824,49.952,28-Apr-2025 11:05:04
27566.756,27639.758,27600.014,49.955,28-Apr-2025 11:05:06
27599.867,27663.531,27638.273,49.954,28-Apr-2025 11:05:08
27494.473,27561.975,27538.121,49.96,28-Apr-2025 11:05:10
27509.576,27581.58,27556.811,49.962,28-Apr-2025 11:05:12
27515.109,27584.674,27555.883,49.962,28-Apr-2025 11:05:14
27452.236,27527.322,27493.75,49.965,28-Apr-2025 11:05:16
27541.252,27609.588,27580.104,49.963,28-Apr-2025 11:05:18
27483.34,27553.689,27529.74,49.964,28-Apr-2025 11:05:20
27478.123,27551.363,27527.67,49.965,28-Apr-2025 11:05:22
27469.406,27540.604,27512.324,49.966,28-Apr-2025 11:05:24
27409.277,27489.107,27458.779,49.965,28-Apr-2025 11:05:26
27473.455,27556.813,27517.348,49.963,28-Apr-2025 11:05:28
27353.846,27441.051,27402.123,49.965,28-Apr-2025 11:05:30
27443.887,27522.145,27483.744,49.963,28-Apr-2025 11:05:32
27424.137,27507.168,27457.746,49.963,28-Apr-2025 11:05:34
27416.82,27499.172,27455.352,49.963,28-Apr-2025 11:05:36
27439.053,27511.408,27469.623,49.962,28-Apr-2025 11:05:38
27370.908,27437.977,27397.262,49.965,28-Apr-2025 11:05:40
27431.641,27494.732,27462.084,49.964,28-Apr-2025 11:05:42
27403.555,27466.082,27439.406,49.963,28-Apr-2025 11:05:44
27407.662,27463.141,27442.557,49.963,28-Apr-2025 11:05:46
27350.818,27402.277,27387.842,49.964,28-Apr-2025 11:05:48
27338.682,27390.291,27368.783,49.963,28-Apr-2025 11:05:50
27265.855,27317.809,27298.01,49.96,28-Apr-2025 11:05:52
27224.115,27281.529,27266.443,49.964,28-Apr-2025 11:05:54
27436.363,27494.994,27466.883,49.962,28-Apr-2025 11:05:56
27279.959,27340.842,27315.436,49.964,28-Apr-2025 11:05:58
27377.967,27435.316,27410.41,49.968,28-Apr-2025 11:06:00
27327.23,27386.459,27365.412,49.972,28-Apr-2025 11:06:02
27255.678,27326.154,27301.52,49.978,28-Apr-2025 11:06:04
27414.471,27489.262,27463.078,49.979,28-Apr-2025 11:06:06
27123.971,27213.51,27181.682,49.987,28-Apr-2025 11:06:08
27292.133,27383.35,27343.889,49.985,28-Apr-2025 11:06:10
27244.877,27327.561,27293.199,49.982,28-Apr-2025 11:06:12
27072.254,27164.324,27124.525,49.985,28-Apr-2025 11:06:14
27312.105,27391.918,27362.762,49.979,28-Apr-2025 11:06:16
27137.145,27225.455,27185.412,49.98,28-Apr-2025 11:06:18
27231.736,27317.014,27274.383,49.981,28-Apr-2025 11:06:20
27272.064,27341.004,27312.58,49.978,28-Apr-2025 11:06:22
27124.242,27210.68,27170.691,49.981,28-Apr-2025 11:06:24
27335.5,27416.092,27378.303,49.975,28-Apr-2025 11:06:26
27146.963,27230.025,27192.244,49.979,28-Apr-2025 11:06:28
27299.525,27379.627,27337.514,49.978,28-Apr-2025 11:06:30
27208.377,27293.875,27269.422,49.978,28-Apr-2025 11:06:32
27165.262,27266.348,27228.184,49.984,28-Apr-2025 11:06:34
27310.779,27397.73,27371.645,49.981,28-Apr-2025 11:06:36
27184.896,27263.086,27240.406,49.985,28-Apr-2025 11:06:38
27154.707,27236.889,27203.455,49.991,28-Apr-2025 11:06:40
27241.055,27305.414,27283.514,49.989,28-Apr-2025 11:06:42
27071.221,27151.129,27130.32,49.992,28-Apr-2025 11:06:44
27141.666,27221.184,27189.602,49.993,28-Apr-2025 11:06:46
27243.871,27343.449,27302.779,49.987,28-Apr-2025 11:06:48
27196.92,27304.646,27262.492,49.987,28-Apr-2025 11:06:50
27251.551,27352.646,27313.641,49.984,28-Apr-2025 11:06:52
27234.789,27325.916,27294.104,49.98,28-Apr-2025 11:06:54
27298.678,27383.436,27355.988,49.979,28-Apr-2025 11:06:56
27210.871,27289.822,27263.584,49.979,28-Apr-2025 11:06:58
27274.197,27351.41,27330.584,49.978,28-Apr-2025 11:07:00
27338.162,27421.145,27399.992,49.979,28-Apr-2025 11:07:02
27444.119,27524.4,27502.121,49.981,28-Apr-2025 11:07:04
27270.361,27347.654,27328.094,49.984,28-Apr-2025 11:07:06
27400.484,27479.174,27464.039,49.984,28-Apr-2025 11:07:08
27309.736,27390.869,27379.723,49.984,28-Apr-2025 11:07:10
27357.213,27438.729,27422.41,49.986,28-Apr-2025 11:07:12
27363.551,27449.357,27427.883,49.988,28-Apr-2025 11:07:14
27304.225,27390.721,27366.893,49.993,28-Apr-2025 11:07:16
27335.609,27420.545,27400.633,49.992,28-Apr-2025 11:07:18
27259.576,27349.811,27325.887,49.991,28-Apr-2025 11:07:20
27260.746,27361.324,27323.496,49.99,28-Apr-2025 11:07:22
27219.869,27313.623,27274.891,49.986,28-Apr-2025 11:07:24
27249.357,27342.527,27307.5,49.986,28-Apr-2025 11:07:26
27248.391,27340.121,27312.287,49.987,28-Apr-2025 11:07:28
27217.18,27313.932,27284.654,49.991,28-Apr-2025 11:07:30
27255.467,27347.494,27312.945,49.993,28-Apr-2025 11:07:32
27128.477,27225.797,27186.355,49.997,28-Apr-2025 11:07:34
27159.969,27256.563,27218.811,50,28-Apr-2025 11:07:36
27265.699,27346.467,27310.348,49.998,28-Apr-2025 11:07:38
27018.893,27106.918,27072.18,50.001,28-Apr-2025 11:07:40
27238.164,27327.801,27285.494,50,28-Apr-2025 11:07:42
27186.568,27271.752,27242.779,49.998,28-Apr-2025 11:07:44
27089.521,27184.752,27141.945,50.003,28-Apr-2025 11:07:46
27292.656,27368.598,27334.139,49.999,28-Apr-2025 11:07:48
26992.514,27076.65,27041.412,50,28-Apr-2025 11:07:50
27191.418,27284.934,27248.643,49.998,28-Apr-2025 11:07:52
27216.527,27307.092,27277.914,49.992,28-Apr-2025 11:07:54
27108.424,27212.678,27181.068,49.997,28-Apr-2025 11:07:56
27299.285,27389.133,27368.359,49.995,28-Apr-2025 11:07:58
27114.738,27192.281,27177.971,49.997,28-Apr-2025 11:08:00
27247.99,27335.748,27306.729,49.998,28-Apr-2025 11:08:02
27286.16,27362.945,27346.869,49.994,28-Apr-2025 11:08:04
27190.93,27276.047,27255.502,49.994,28-Apr-2025 11:08:06
27354.98,27439.807,27416.711,49.989,28-Apr-2025 11:08:08
27299.193,27384.699,27361.412,49.987,28-Apr-2025 11:08:10
27338.598,27427.518,27394.9,49.987,28-Apr-2025 11:08:12
27338.617,27408.992,27390.902,49.986,28-Apr-2025 11:08:14
27352.732,27429.973,27408.273,49.988,28-Apr-2025 11:08:16
27349.316,27418.844,27400.947,49.988,28-Apr-2025 11:08:18
27252.08,27321.566,27303.047,49.991,28-Apr-2025 11:08:20
27429.557,27497.67,27480.299,49.988,28-Apr-2025 11:08:22
27356.57,27423.492,27404.379,49.989,28-Apr-2025 11:08:24
27366.977,27443.926,27413.258,49.995,28-Apr-2025 11:08:26
27428.242,27505.543,27478.186,49.995,28-Apr-2025 11:08:28
27365.768,27438.512,27411.584,49.998,28-Apr-2025 11:08:30
27405.514,27478.99,27450.441,50.001,28-Apr-2025 11:08:32
27393.162,27457.676,27432.297,50.001,28-Apr-2025 11:08:34
27371.422,27435.705,27415.582,50.003,28-Apr-2025 11:08:36
27469.82,27522.787,27512.086,50.002,28-Apr-2025 11:08:38
27325.109,27386.617,27383.656,50.005,28-Apr-2025 11:08:40
27458.951,27520.271,27516.529,50.005,28-Apr-2025 11:08:42
27447.656,27504.619,27502.963,50.006,28-Apr-2025 11:08:44
27485.07,27551.365,27544.066,50.011,28-Apr-2025 11:08:46
27517.818,27579.564,27569.641,50.011,28-Apr-2025 11:08:48
27476.645,27547.646,27527.313,50.014,28-Apr-2025 11:08:50
27619.006,27689.162,27667.914,50.015,28-Apr-2025 11:08:52
27558.074,27620.578,27613.527,50.015,28-Apr-2025 11:08:54
27614.971,27688.846,27664.842,50.015,28-Apr-2025 11:08:56
27647.961,27728.854,27698.684,50.014,28-Apr-2025 11:08:58
27661.398,27741.24,27703.461,50.014,28-Apr-2025 11:09:00
27684.258,27767.018,27722.758,50.012,28-Apr-2025 11:09:02
27715.311,27792.66,27751.131,50.009,28-Apr-2025 11:09:04
27730.201,27809.309,27765.514,50.007,28-Apr-2025 11:09:06
27780.902,27859.551,27811.047,50.003,28-Apr-2025 11:09:08
27784.4,27862.168,27815.48,50.002,28-Apr-2025 11:09:10
27782.039,27860.152,27813.158,49.999,28-Apr-2025 11:09:12
27829.971,27904.973,27860.186,49.995,28-Apr-2025 11:09:14
27816.004,27897.15,27849.771,49.994,28-Apr-2025 11:09:16
27866.518,27951.102,27896.5,49.992,28-Apr-2025 11:09:18
27879.059,27967.705,27915.186,49.991,28-Apr-2025 11:09:20
27928.232,28017.543,27966.01,49.99,28-Apr-2025 11:09:22
27933.896,28022.266,27969.303,49.989,28-Apr-2025 11:09:24
27966.906,28054.977,28003.303,49.989,28-Apr-2025 11:09:26
27978.041,28066.98,28004.783,49.989,28-Apr-2025 11:09:28
27980.564,28065.186,28011.119,49.989,28-Apr-2025 11:09:30
28001.979,28094.611,28037.699,49.988,28-Apr-2025 11:09:32
28000.178,28091.787,28033.873,49.988,28-Apr-2025 11:09:34
28003.518,28098.854,28042.92,49.987,28-Apr-2025 11:09:36
27963.33,28066.635,28005.969,49.988,28-Apr-2025 11:09:38
27987.457,28085.078,28026.523,49.988,28-Apr-2025 11:09:40
27991.854,28098.211,28031.813,49.989,28-Apr-2025 11:09:42
27955.127,28058.941,27996.066,49.99,28-Apr-2025 11:09:44
27984.465,28084.291,28021.512,49.991,28-Apr-2025 11:09:46
27916.627,28015.166,27959.801,49.993,28-Apr-2025 11:09:48
27947.555,28042.645,27984.422,49.995,28-Apr-2025 11:09:50
27961.646,28062.549,28009.936,49.996,28-Apr-2025 11:09:52
27948.041,28053.73,27995.119,49.999,28-Apr-2025 11:09:54
27995.883,28093.826,28043.402,50,28-Apr-2025 11:09:56
27935.877,28037.002,27988.361,50.003,28-Apr-2025 11:09:58
27950.172,28049.711,28002.055,50.004,28-Apr-2025 11:10:00
27980.152,28073.088,28032.133,50.003,28-Apr-2025 11:10:02
27982.344,28068.168,28033.725,50.003,28-Apr-2025 11:10:04
27974.223,28059.648,28022.35,50.003,28-Apr-2025 11:10:06
28002.729,28097.9,28044.324,50.004,28-Apr-2025 11:10:08
28009.158,28105.838,28050.195,50.004,28-Apr-2025 11:10:10
27988.676,28087.467,28035.012,50.007,28-Apr-2025 11:10:12
28027.318,28131.023,28082.191,50.005,28-Apr-2025 11:10:14
28041.326,28145.166,28100.49,50.003,28-Apr-2025 11:10:16
28087.041,28196.547,28157.156,50,28-Apr-2025 11:10:18
28109.541,28214.488,28176.254,49.998,28-Apr-2025 11:10:20
28092.77,28198.512,28158.162,50.001,28-Apr-2025 11:10:22
28123.389,28231.822,28188.168,50,28-Apr-2025 11:10:24
28105.168,28212.082,28169.936,50.001,28-Apr-2025 11:10:26
28137.266,28244.533,28201.66,50.001,28-Apr-2025 11:10:28
28133.303,28241.305,28199.906,50.002,28-Apr-2025 11:10:30
28188.139,28299.502,28253.887,50.001,28-Apr-2025 11:10:32
28197.906,28308.176,28260.07,50,28-Apr-2025 11:10:34
28253.338,28370.039,28315.342,50.001,28-Apr-2025 11:10:36
28230.098,28354.867,28304.189,50.002,28-Apr-2025 11:10:38
28243.613,28370.139,28316.609,50.003,28-Apr-2025 11:10:40
28220.623,28344.883,28289.652,50.003,28-Apr-2025 11:10:42
28223.059,28344.527,28292.021,50.003,28-Apr-2025 11:10:44
28246.029,28374.82,28316.264,50.003,28-Apr-2025 11:10:46
28233.338,28367.613,28307.441,50.005,28-Apr-2025 11:10:48
28176.977,28307.85,28256.986,50.007,28-Apr-2025 11:10:50
28157.621,28294.338,28242.33,50.008,28-Apr-2025 11:10:52
28149.904,28294.459,28246.367,50.01,28-Apr-2025 11:10:54
28092.656,28232.248,28175.557,50.013,28-Apr-2025 11:10:56
28145.273,28283.875,28224.998,50.013,28-Apr-2025 11:10:58
28091.51,28228.033,28168.078,50.015,28-Apr-2025 11:11:00
28130.652,28272.145,28215.656,50.017,28-Apr-2025 11:11:02
28088.658,28221.918,28164.73,50.019,28-Apr-2025 11:11:04
28128.279,28259.295,28195.707,50.02,28-Apr-2025 11:11:06
28111.15,28239.656,28181.736,50.02,28-Apr-2025 11:11:08
28058.594,28191.248,28136.752,50.022,28-Apr-2025 11:11:10
28077.613,28204.279,28153.711,50.021,28-Apr-2025 11:11:12
28073.051,28199.262,28147.662,50.019,28-Apr-2025 11:11:14
28083.678,28215.598,28171.859,50.018,28-Apr-2025 11:11:16
28054.068,28196.488,28150.502,50.019,28-Apr-2025 11:11:18
28073.574,28215.236,28172.09,50.019,28-Apr-2025 11:11:20
28061.881,28198.006,28158.055,50.022,28-Apr-2025 11:11:22
28076.535,28208.279,28161.256,50.025,28-Apr-2025 11:11:24
28002.996,28126.023,28079.266,50.025,28-Apr-2025 11:11:26
27994.695,28116.014,28065.043,50.026,28-Apr-2025 11:11:28
27998.791,28109.842,28067.287,50.025,28-Apr-2025 11:11:30
28037.332,28153.555,28104.631,50.025,28-Apr-2025 11:11:32
27992.711,28109.789,28061.826,50.025,28-Apr-2025 11:11:34
28020.27,28143.635,28092.854,50.025,28-Apr-2025 11:11:36
28011.393,28139.754,28094.299,50.025,28-Apr-2025 11:11:38
28015.498,28135,28093.143,50.023,28-Apr-2025 11:11:40
28021.236,28136.541,28091.865,50.021,28-Apr-2025 11:11:42
28071.969,28179.492,28136.098,50.019,28-Apr-2025 11:11:44
28044.803,28153.383,28109.217,50.021,28-Apr-2025 11:11:46
28062.633,28164.82,28116.607,50.023,28-Apr-2025 11:11:48
28107.445,28204.92,28155.727,50.022,28-Apr-2025 11:11:50
28081.727,28199.24,28140.713,50.024,28-Apr-2025 11:11:52
28093.695,28203.891,28138.715,50.024,28-Apr-2025 11:11:54
28098.277,28214.891,28149.592,50.022,28-Apr-2025 11:11:56
28111.76,28231.92,28172.07,50.02,28-Apr-2025 11:11:58
28099.42,28220.096,28170.998,50.019,28-Apr-2025 11:12:00
28090.102,28209.541,28151.621,50.02,28-Apr-2025 11:12:02
28138.039,28259.992,28205.426,50.02,28-Apr-2025 11:12:04
28080.008,28206.563,28146.162,50.021,28-Apr-2025 11:12:06
28111.18,28240.457,28175.498,50.021,28-Apr-2025 11:12:08
28112.348,28220.926,28165.672,50.019,28-Apr-2025 11:12:10
28078.412,28188.07,28138.746,50.019,28-Apr-2025 11:12:12
28122.957,28225.074,28175.549,50.018,28-Apr-2025 11:12:14
28075.551,28175.994,28127.367,50.019,28-Apr-2025 11:12:16
28150.004,28249.68,28203.691,50.019,28-Apr-2025 11:12:18
28074.113,28180.502,28134.389,50.019,28-Apr-2025 11:12:20
28103.379,28210.424,28171.916,50.018,28-Apr-2025 11:12:22
28053.402,28169.848,28138.084,50.017,28-Apr-2025 11:12:24
28114.809,28236.73,28207.055,50.015,28-Apr-2025 11:12:26
28117.154,28246.725,28214.004,50.014,28-Apr-2025 11:12:28
28091.215,28222.695,28189.748,50.016,28-Apr-2025 11:12:30
28094.605,28214.184,28182.563,50.015,28-Apr-2025 11:12:32
28087.666,28205.354,28163.973,50.016,28-Apr-2025 11:12:34
28098.533,28214.127,28162.689,50.016,28-Apr-2025 11:12:36
28111.9,28242.268,28186.133,50.015,28-Apr-2025 11:12:38
28158.463,28293.563,28224.537,50.015,28-Apr-2025 11:12:40
28150.152,28281.867,28219.451,50.016,28-Apr-2025 11:12:42
28146.488,28273.947,28220.045,50.017,28-Apr-2025 11:12:44
28174.482,28301.961,28243.371,50.022,28-Apr-2025 11:12:46
28206.268,28314.732,28262.787,50.022,28-Apr-2025 11:12:48
28221.039,28328.461,28282.602,50.023,28-Apr-2025 11:12:50
28139.85,28254.502,28216.223,50.026,28-Apr-2025 11:12:52
28195.117,28311.592,28267.873,50.025,28-Apr-2025 11:12:54
28173.238,28290.072,28250.146,50.026,28-Apr-2025 11:12:56
28258.504,28369.939,28327.586,50.027,28-Apr-2025 11:12:58
28202.338,28314.527,28274.684,50.03,28-Apr-2025 11:13:00
28258.674,28373.594,28328.434,50.03,28-Apr-2025 11:13:02
28223.195,28325.486,28280.344,50.032,28-Apr-2025 11:13:04
28183.369,28295.301,28246.785,50.036,28-Apr-2025 11:13:06
28237.186,28342.715,28301.26,50.034,28-Apr-2025 11:13:08
28158.238,28274.055,28223.77,50.035,28-Apr-2025 11:13:10
28214.898,28329.273,28287.414,50.034,28-Apr-2025 11:13:12
28173.975,28279.027,28237.699,50.034,28-Apr-2025 11:13:14
28188.406,28277.109,28242.459,50.035,28-Apr-2025 11:13:16
28192.643,28275.33,28241.223,50.035,28-Apr-2025 11:13:18
28167.463,28249.916,28217.234,50.034,28-Apr-2025 11:13:20
28204.455,28293.125,28257.395,50.03,28-Apr-2025 11:13:22
28128.342,28216.83,28186.117,50.027,28-Apr-2025 11:13:24
28191.635,28288.227,28243.813,50.022,28-Apr-2025 11:13:26
28145.957,28237.145,28195.639,50.016,28-Apr-2025 11:13:28
28168.811,28265.787,28221.629,50.014,28-Apr-2025 11:13:30
28162.783,28263.027,28230.078,50.011,28-Apr-2025 11:13:32
28135.799,28239.133,28200.404,50.011,28-Apr-2025 11:13:34
28200.826,28296.85,28261.41,50.011,28-Apr-2025 11:13:36
28135.43,28236.979,28198.545,50.014,28-Apr-2025 11:13:38
